ID,English Word,Tachelhit Expression
596,berry,"tagemmut, tigemmutin/tigʷmma"
597,beside,tama
598,besides,d yat tiss snatt
599,besmear,jlleø /jllex
600,best,ay-nna/ay-lli/ɣay-lli mu ufiɣ/ẓeḍaṛeɣ/qqaddaɣ/drekeɣ
601,best man,"asali, issalayen"
602,betray,kllex
603,betrayal,"tiznezi, tizneziwin"
604,betrayer,"amzznez, imzznezen"
605,beware,ha-nn
606,beyond,"1.If something is beyond a certain place, it is on the other side of it. Nnig"
607,bewitch,sker
608,Bible,"injil, injilen"
609,biceps,"tigigilt, tigigilin"
610,bicycle,"ayyis, isan n waḍu"
611,bidding,"tadllalt, tidllalin"
612,bidet,"tafrawt, tifrewin n uslilli/urud/ussired/ussɣus"
613,big,1.Large and important. Imqqurn
614,bigmouth,"bu-imi, id bu-imi"
615,bilingualism,"snatt-tutlayin, id snatt tutlayin"
616,bike,"ayyis, isan n waḍu"
617,bikini,"abikini, ibikiniyen"
618,bile,aman n iẓi
619,bill,"1.A written statement of how much is owed for goods or services. Tadkkart, tidkkarin"
620,billfold,"talbẓḍamt, tilbẓḍamin"
621,billhook,"alkkawsu, illkkuwsa"
622,billion,"mlyaṛ, id mlyaṛ"
623,billy goat,"ankkur, inkʷran"
624,bin,"aṭṭaṛṛu, iṭṭuṛṛa n warras/ufṛad"
625,bind,"1.If you bind something, you tie a rope or string round it so that it is held firmly. Ass"
626,binder,"asffar, isffaren"
627,bindweed,"tansfalt, tinsfalin"
628,biography,tudert
629,biology,tussena/tawssena n tudert
630,bird,"agḍiḍ, igḍaḍ (amd is akkʷ ccan igḍaḍ amud lli ikʷfes)֎֎ aylal, aylalen"
631,bird of prey,"iɣiwer, iɣaweren"
632,birdsong,"askiyyiw, iskiyyiwen n igḍaḍ"
633,birth,"1.When a baby is born, you refer to this event as its birth. Talalit, tilila"
634,birthday,"akʷttay, ikʷttayen n telalit"
635,biscuit,"agarguc, igarcucen"
636,bishop,"waggag, id waggag n Iṛumiyen"
637,bit,1.A bit of something is a small amount piece of it. Imikk
638,bit-brace,"azlu, izla"
639,bitch,"tikzint, tikzinin"
640,bitter,"1.If someone is bitter, they feel angry and resentful. Ɣlin idammen i kra"
641,bitter apple,"afṛẓiẓ, ifṛẓiẓen"
642,bitterness,"taṛẓugi, tiṛẓugi"
643,bizarre,iẓlin
644,black nightshade,tiḍallin
645,blackbird,"akʷrkur, ikʷrkar"
646,blackboard,"tiflut, tiflutin"
647,blackberry,"iεajl, iεajlen"
648,blacken,ssisgin
649,blackness,"tasguni, tisguniwin"
650,blacksmith,"amzil, imzilen"
651,blade,"1.The blade of a knife, axe or saw is the sharp part of it. Asɣres, isɣras"
652,bladder,"angad, angaden"
653,blank,imlluln
654,blanket,"addal, addalen"
655,bleed,bḍel
656,bleeding,"awwunzer, iwwunzeren"
657,blend,"1.When you blend substances, you mix them together to form a single substance. Rwi"
658,bless,qqil
659,blind man,"abukaḍ, ibukaḍen"
660,blindness,abukeḍ
661,blindworm,"azrrat, izrraten (amd yufa yan uzrrat)֎֎"
662,blink,qqen tiṭṭt
663,blister,"tilfeɣt, tilfeɣin֎֎ talbbiɣt, tilbbiɣin֎֎ tuccixt, tibuccixin֎֎ aclfuṭ, iclfuṭen֎֎ tifxsi, tifxsiyin֎֎ talxfet, tilxfin֎֎ aluffiɣ, iluffiɣen֎֎ anfit, infiten֎֎ tagccult, tigccal/tigʷccal֎֎ takccult, tikccal/tikʷccal֎֎ block:  (n.) 1.A block of flats of offices is a large building containing flats or offices. Afus, ifassen"
664,blockage,"tuqqena, tuqqeniwin"
665,bloke,"argaz, irgazen"
666,blond,aẓεṛi
667,blood,idammen
668,blood-bond,idammen
669,blood clot,"taḥṭṭiḍt, tiḥṭṭiḍin"
670,blood group,"anaw, anawen n idammen"
671,blood pressure,"taddwit, tiddwin n idammen"
672,bloody,ilan idammen
673,bloodthirsty,igan admman
674,bloom,flulu
675,blouse,"taccayt, ticcayin"
676,blow out,ssnes
677,blow up,ttaqqi
678,blowing,"ashuffu, ishuffuten"
679,blowpipe,"afaṭṭu, ifuṭṭa"
680,blunderer,"abujad, ibujaden"
681,boast,frrek
682,boaster,"afccac, ifccacen"
683,boastful,bu-ufrrek/bbux
684,boastfulness,"tinnumɣert, tinnumɣerin"
685,boat,"tizzaft, tizzaf֎֎ turft, turfin֎֎ tinawt, tinawin֎֎ aɣrrabu, iɣrruba֎֎ abaṛku, ibuṛka*֎֎ alfluk, ilfluken*֎֎ anfluk, influken*֎֎ afcku, ifckan֎֎ abcku, ibckan֎֎ tinawt, tinawin֎֎"
686,bobble,"aqfuc, iqfucen"
687,bodkin,"ccfi, id ccfi"
688,body,"1.You body is all you, from you head to your feet. Tazzit, tizza"
689,bodyguard,"aḍaf, aḍafen"
690,bodysuit,"tansrift, tinsrifin"
691,bogeyman,"buɛɛu, id buɛɛu"
692,boil over,ffi-d
693,boiling,"isis, isisen"
694,bold bolt,"tagʷlilt, tigʷlilin֎֎ taṛṛmmant, tiṛṛmmanin֎֎ taserglt, tiserglin֎֎ tanast, tanasin֎֎ tifkert, tifkerin֎֎ …"
695,boldness,"tasa, taswin"
696,boiler,"tafḍna, tifḍniwin"
697,bolt,"asɣens, isɣensen֎֎ awccak, iwccaken֎֎ abernin, iberninen֎֎ bu-lwalb, id bu-lwalb֎֎ asbren, isbranen֎֎ llulb, id llulb֎֎ bomb:  (n.) 1.A containter filled with explosives. Taccṛcmat, ticcṛcmatin"
698,bombard,fek/frreɣ/srreḥ aqqryal/takat/ucayyaṛ
699,bombardment,"tufekka, tufekkiwin n uqqryal"
700,bond,"anyalkam, inyalkamen"
701,bonfire,"tajaffut, tijuffa֎֎ tabuffut, tibuffutellin֎֎ tifgert, tifgar֎֎ tigniccut, tigunnac֎֎ taguffut, tiguffa֎֎ aglluy, iglluyen֎֎ tanggaffut, tingguffa֎֎ tafgaggut, tifgguga֎֎ tafdaddit, tifdudda֎֎ tandaffut, tinduffa֎֎ tafragut, tifrugutin֎֎"
702,bonnet,"aṭṭṛbuc, iṭṭṛbucen"
703,bonus,"1.An amount of money that is added to usual pay. Tasufut, tisufutin"
704,boo,ṭuwwf
705,boogieman,"buɛɛu, id buɛɛu"
706,bookbinder,"asffar, isffaren"
707,bookseller,"bu-idlisen, id bu-idlisen"
708,boot,"14 1.Strong shoes. Abuzg, ibuzgen"
709,boot-licker,bu-teḥlissit
710,booth,"takribut, tikributin"
711,bootlace,"tasrift, tisrifin"
712,bootstrap,"amzzuɣ, imzzaɣ/imzgan"
713,borage,"ils, alsiwen n waɣʷi/uzger"
714,boring,issṛmiyn
715,born,lul
716,borough,"taɣiwant, tiɣiwanin"
717,borrow,ṛḍel
718,bosom,idmaren
719,boss,"bu-tewwuri/tesart, id bu- tewwuri/tesart"
720,botch,smrwi
721,botched,immrwin
722,botched job,"gar tawwuri, id gar tawwuri"
723,bottle,"talbeṭṭat, tilbaṭṭatin"
724,bottleneck,"agṛeḍ, igṛaḍ/igṛeḍan"
725,bounce,"1.When an object bounces or you bounce it, it moves upwards or away after hitting something. Ntteg"
726,bough,"akccuḍ, ikccuḍen֎֎ aṣṣkkiḍ, iṣṣkkiḍen֎֎ aẓeṭṭa, iẓeṭṭwan֎֎ aṣeṭṭa, iṣeṭṭwan֎֎ ifiṭṭu, ifiṭṭuten֎֎ ifiṭṭi, ifiṭṭiten֎֎ iẓẓli, iẓẓlayen֎֎ tiẓẓlit, tiẓẓliyin֎֎ tiẓlḍit, tiẓlḍay֎֎ agjja, igjja֎֎ agdjja, igdjjaten tizlit,tizlatin֎֎ azqqur, 48 izqquren֎֎ taɣida, tiɣidwin֎֎ taɣda, tiɣdwin֎֎ asqur, isquren/isɣʷran֎֎"
727,boulevard,"aɣaras, iɣarasen"
728,boundary,"awwuttu, iwwutta"
729,bouquet,"tadla, tadliwin"
730,bovid,izgaren
731,bovine,"amugay, imugayen"
732,bow down,bendeqq
733,bow tie,"takrrist/tagʷlilt, tikrrisin/tigʷlilin n tefrijja"
734,bow-legged,amucal
735,bow-wow,haw-haw
736,bowling,turart n bawling֎֎
737,box,"1.A container with firm base and sides. Taqqbbuct, tiqqbbucin֎֎ aḥakuk, iḥakuken֎֎ tafust, tifassin ֎֎ tazzenbilt, tizzenbilin֎֎ taṛṛbiɛt, tiṛṛbiɛin*֎֎ tanaka/tanakart, tanakatin֎֎ takruft, tikrufin֎֎ tamdilt, timdilin֎֎ taḥanut, tiḥuna֎֎ … 2.On a form, a box is a square space which you have to write something in. uzun, uzunen"
738,boxing,tukkimt
739,box office,"taqqbbuct, tiqqbbucin n tenfulin"
740,boy,"afrux, ifrexan"
741,boy scout,"afadad, ifadaden"
742,boycott,bbi-nn
743,boyfriend,"amddakʷel, imddukkʷal n tasa"
744,bra,"nnil uffan, id nnil uffan"
745,bracelet,"abzeg, ibzegen֎֎ azbeg, izbegen֎֎ addeblij, iddeblijen֎֎ ddeblij, id ddeblij֎֎ tanbayylit, tinbayylin֎֎ taxnxalt, tixnxalin֎֎ taxlxalt, tixlxalin֎֎ izbi, izbiyen֎֎ tanbalt, tinbalin֎֎ addemlij, iddemlijen֎֎ …"
746,bracket,tiwwa
747,bradawl,"Asasser, isussar"
748,brag,frrek
749,braggart,"bu-waggagen, id waggagen"
750,brain,"allɣf, illɣefen֎֎ allxf, illxfen anili, iniliyen֎֎ anella, inellaten֎֎ anli, inliyen֎֎ mallxf, id mallxf֎֎ mallɣf, id mallɣf֎֎ allaɣ, allaɣen֎֎ allni, illniten֎֎ brake:  (n.) 1.A device for making a vehicle stop or slow down. Asbiddad, isbiddaden"
751,bramble,"iεajl, iεajlen"
752,bran,ilammen
753,branch,"1.The branches of a tree. Talabut, tiluba"
754,brand-new,amaynu
755,branding,"afray, ifrayen"
756,brandy,anẓiẓ֎֎ aman smmumnin֎֎ aman n tudert֎֎
757,brass,ṭṭaṣ֎֎ anas awraɣ֎֎ aɣir awraɣ֎֎ iɣir awraɣ֎֎
758,brat,"tabṛεwwant, tibrεwwanin"
759,bravado,"tamurrant, timurranin"
760,bravery,"tirrugeza, tirrugeziwin"
761,brawl,"imiɣ, imaɣen"
762,braying,"ahuṛṛu, ihuṛṛan"
763,bread,"aɣrum, iɣrumen"
764,breach,"afrukkec, ifrukkas"
765,break down,bedd/bidd
766,break-in,"akccum, ikccumen"
767,break into,akʷer
768,break off,bḍu
769,break up,bḍu
770,breakdown,"1.The breakdown of a system, plan, or discussion is its failure. Abeddad, ibeddaden"
771,breakfast,"timkelit, timkelitin (amd icca timkelit nnes)֎֎ tagmimt, tigmimin"
772,breast,"tabbat, tabbatin֎֎ tabssumt, tibssumin֎֎ bubba, id bubba֎֎ tabbuct, tibbucin֎֎ uff, uffan֎֎ tabubbat, tibubbatin֎֎ tibbit, tibbitin֎֎ tiffit, tuffatin֎֎ tibbict, tibbicin֎֎ taderɣt, tiderɣin)֎֎ admer, idmaren֎֎"
773,breast-feed,ssngi i
774,breast-feeding,assumm
775,breastbone,tanast n idmaren
776,breast wall,"tiɣirtt, tiɣirin"
777,breath,"1.Your breath is the air that you take into your lungs. Unfus, unfusen"
778,breathe,kʷḍu
779,breathe in,rar/ssaḍu unfus
780,breathe out,ḍi/sffeɣ-d unfus
781,breckland thyme,asḥrknna
782,breeze,"azuzwu, izuzwuten"
783,brief,ikkan imikk/imskukk/walu
784,briefly,s tegzuli
785,brevity,"tagzuli/tigzluli, tigzuliwin"
786,brew,ṛẓem
787,briber,"bu-tisent n ufus, id bu-tisent n ufus"
788,brick,"uṭṭib, uṭṭiben"
789,bricklayer,"amsɣrem, imsɣremen"
790,bridal,tin temøera
791,bride,"tislit, tislatin"
792,bridegroom,"isli, island"
793,bridesmaid,"tamnggeft, timnggefin֎֎ timɣerit, timɣeriyin֎֎ tasalit, tisaliyin֎֎ tamakelt, timakelin֎֎ tasnayt, tisnayin֎֎ tasmnayt, tismnayin֎֎"
794,bridge,"azzgʷer, izzgʷar/izzgʷeren֎֎ tazzgert, tizzgerin֎֎ tannelt, tinnal֎֎ tilggit, tilgga֎֎ tilggʷit, tilggʷa֎֎ bridle:  (n.) 1.The headgear used to control a horse, consisting of buckled straps to which a bit and reins are attached. Algamu, ilguma"
795,briefcase,"tasufra, tisufriwin n tenfulin"
796,brigand,"amxxar, imxxaren֎֎ imiker, imakeren֎֎ muker, id muker֎֎ mukir, id mukir֎֎ acffaṛ, icffaṛen֎֎ axwwan, ixwwanen֎֎ anbbay, inbbayen n iɣarasen/ibriden֎֎"
797,bright,1.Bright light. Ismrɣan
798,brighten,sqqel
799,brill,"islm, islman n Musa"
800,brilliant,ittefukksn
801,brim over,sfel
802,bring about,sker
803,bring closer,sitti-d
804,bring together,mun
805,bring up,ssnker-d
806,brisket,"tadmert, tidmarin"
807,bristle,ggucceḍ/kkucceḍ
808,Britain,Bṛiṭanya
809,British,n Britania
810,broad,1.Wide. Imqqurn
811,broad bean,"ibiww/abaww, ibawwen"
812,brochette,"azlluy, izlluyen"
813,brochure,"alug, ilugen"
814,broil,knef
815,broken,iṛeẓan
816,broker,"abaṣaṛi, ibaṣaṛiyen"
817,bronze,anas֎֎ aɣir֎֎ iɣir֎֎
818,brooch,"tiẓṛeẓit, tiẓṛeẓay"
819,broom,"1.A long-handled brush of bristles or twigs used for sweeping. Tassfeḍt, tissfaḍ֎֎ talayt, talayin֎֎ tarrast, tarrasin֎֎ talact, tilacin֎֎ tassemt, tissam֎֎ taṣeṭṭat, tiṣeṭṭatin֎֎ tigjdemt, tigjdmin֎֎ timṣliḥt, timsliḥin֎֎ tasmamt, tismamin֎֎ tasarest tisaresin֎֎ilggʷi, ilggʷiyen...֎֎ 2.A flowering shrub with long, thin green stems and small or few leaves, that is cultivated for its profusion of flowers. Aluggu, iluggu"
820,broth,"tiyymi, tiyymiwin"
821,brother,"gʷma, aytma"
822,brother-in-law,"gʷma-s, aytma-s n temɣart nnek֎֎ gʷma-s, aytma-s n urgaz nnem֎֎ ulttma-s, isttma-s n urgaz nnem֎֎ alus, alusen"
823,brotherhood,tagʷmat
824,brutal,ikkatn
825,bubbling,"isis, isisen"
826,buccal,n imi
827,bucket,"asagʷm, isagʷmen֎֎ ablgaw, iblgiwen֎֎ talgʷmmaḥt, tilgʷmmaḥin֎֎ anas, anasen֎֎ aggam, aggamen֎֎ aga, agiwen֎֎ almnjeṛ, ilmnjeṛen*֎֎ amnnas, imnnasen֎֎ buckle:  (n.) 1.A fastening on the end of a belt or strap. Tagʷlilt, tigʷlilin֎֎ taṛṛmmant, tiṛṛmmanin֎֎ taserglt, tiserglin֎֎ tanast, tanasin֎֎ tifkert, tifkerin֎֎  (v.) 2.If you buckle a belt or strip, you fasten it. Qqen"
828,buckle down to,qqen as
829,Buddhism,tabudiyt/tabudit
830,Buddhit,"abudi, ibudiyen"
831,budding,"askukker, iskukkuren"
832,budget,"taqqʷrabt, tiqqʷrabin"
833,buffet,"65 1.A large sideboard with drawers and cupboards. Tankult/tankunt, tinkulin/tinkunin"
834,buffoon,"baqqcic, id baqqcic"
835,buffwheel,"asmsed, ismsad"
836,builder,"amsɣrem, imsɣremen"
837,building,"iɣrem, iɣreman"
838,building society,"tamsart, timsarin n urṭṭal"
839,bulb,"1.A light bulb. Inir, iniren"
840,bull,"aɣʷi, uɣʷa"
841,bull-calf,"aɣʷi, uɣʷa"
842,bullet,"bu-ufskar, id bu-ufskar"
843,bulletproof,mar aqqryal/tigiriyin
844,bulletproof jacket,"tabdεit, tibdεiyin mar aqqryal/tigiriyin"
845,bulrush,aẓẓmay
846,bumblebee,"ahrrud, ihrruden"
847,bump into,mmiggir/mmiqqir
848,bumper,"amggnger, imggngeren"
849,bun,"agrnuz, igrnaz"
850,bunch,"1.A group of people. Agrar, igraren"
851,bungalow,"abangaluw, ibangaluwen"
852,bungler,"aẓlmaḍ, iẓlmaḍen֎֎ hlluḍ, id hlluḍ֎֎ baygli, id baygli֎֎ cikrir, id cikrir֎֎ amtllecc, imtlleccen֎֎ abahlal, ibahlalen֎֎ bahlal, id bahlal֎֎ amkuf, imkufen֎֎ amguf, imgufen֎֎ ankuf, inkufen֎֎ anguf, ingufen֎֎ amɛḍuṛ, imɛḍaṛ֎֎ amkuf, imkufen֎֎ amtellc, imtellcen֎֎ abuhal, ibuhalen֎֎ abuhali, ibuhaliyen֎֎ baqqʷffa, id baqqʷffa֎֎ ẓẓmeṛ, id ẓẓmeṛ֎֎ aɣʷyul, iɣʷyal֎֎ antluf, intlufen֎֎ amtluf, imtlufen֎֎ antluf, intlufen֎֎ mixxi, id mixxi֎֎ baḥffu, id baḥffu֎֎ …"
853,burden,"aẓaẓu, iẓuẓa"
854,burdock,"amzzuɣ, imzzaɣ n tili"
855,burglar,"amxxar, imxxaren֎֎ amaker, imakeren֎֎ acffaṛ, icffaṛen֎֎ mukir, id mukir֎֎ akccaṭ, ikccaṭen֎֎"
856,burglary,tukceṭa
857,burgle,akʷer
858,bureaucrat,"amazzal, imazzalen"
859,burial,"amḍel/amḍal, imḍelen/imḍalen"
860,burial mound,"aqbu, iqbuten"
861,burnous,"aslham, islhamen"
862,burp,ihruccan
863,burrow,"tasa, taswin"
864,burst into laughter,mmet s taḍṣa
865,burst out laughing,bbaqqi
866,bury,mḍel
867,burying,"amḍel/amḍal, imḍelen/imḍalen"
868,bus,"ṭṭubiṣ, id ṭṭubiṣ"
869,bush,"ifski, ifskiyen֎֎ agʷntif, igʷntifen֎֎ agfu, agfuten֎֎ aggfca, aggcfaten֎֎ aglluy, iglluyen֎֎ agcteffa, igcteffaten֎֎ acddir, icderan֎֎ akctaffu, ikctaffuten֎֎ aggacfa, iggacfaten֎֎ axlij, ixlijen֎֎ aggacfa, iggacfaten֎֎ agffa, igffaten֎֎ agffu, igffuten֎֎ imɣi, imɣan֎֎ ufni, unfniyen֎֎ iccfud, iccfuden֎֎ agrman, igrmanen֎֎ asnfeḍ, isnfaḍ֎֎"
870,bushel,"akskus, ikskusen"
871,bushwood,"agrman, igrmamen"
872,bushy,iqqenn
873,business,1.Business is work relating to the buying and selling. Tasbbabt
874,bust,idmaren
875,busy,lhu
876,butcher,"agzzar, igzzaren֎֎ bu- tefyyi/ifyyiwen, id bu-tefyyi/ifyyiwen֎֎ bu-uksum, id bu-uksum֎֎ bab n tefyyi/ifyyiwen, id bab n tefyyi/ifyyiwen֎֎ bab n uksum, id bab n uksum֎֎ butcher’s block (n.): asgdel, isgdal"
877,butt,"tiɣʷrdin֎֎ ḍaṛat֎֎ tikʷrmin֎֎ taɣʷma, taɣʷmiwin(pej.)֎֎ tabanna, tibanniwin (pej.)֎֎ axxʷna/axʷna, ixʷnwan֎֎ asuḍ, isuḍan (pej.)֎֎ asraf, isrefan (pej.)֎֎ agʷnnir, igʷnniren (pej.)֎֎ taṣkkat, tiṣkkatin (pej.)֎֎ …"
878,butter,tudit֎֎ tamudit֎֎ talusi֎֎ udi֎֎ udi iṛẓagn֎֎
879,butter milk,aɣu (amd ur iḥmel aɣu)֎֎
880,butterfly,"tafrijja, tifrijjiwin֎֎ slem-aggʷrn, id slem-aggʷrn֎֎ imil, imilen֎֎ tawznawazt, timznawazin֎֎ tiflillist, tiflillisin bu- uferteṭṭu, id bu-uferteṭṭu֎֎ afertaṭṭu, ifertuṭṭa֎֎ iblluli, iblluliten֎֎ ferfeṭṭu, id ferteṭṭu֎֎ afertllis, ifertllisen֎֎ iberbllu, iberblluten֎֎ iflilis, iflilisen֎֎ iferṭṭiṭṭu, iferṭṭiṭṭuten֎֎ aferteṭṭu, iferteṭṭuten֎֎ 17"
881,buttocks,"tiɣʷrdin֎֎ ḍaṛat֎֎ tikʷrmin֎֎ taɣʷma, taɣʷmiwin֎֎ agrru, igʷrra֎֎ amsel/amslu, imselan֎֎ angru, ingʷran֎֎ akrum, ikrumen֎֎ tabanna, tibanniwin (pej.)֎֎ taṣkkat, tiṣkkatin֎֎ axxʷna/axʷna, ixʷnwan (pej.)֎֎ asuḍ, isuḍan (pej.)֎֎ asraf, isrefan (pej.)֎֎ agʷnnir, igʷnniren (pej.)… button:  (n.) 1.The objects you use to fasten . clothes. Tawckint, tiwckinin"
882,buttonhole,"tiggit, tigga n ufskar/tejarrayat"
883,buy,1.Obtain in exchange for payment. Seɣ
884,buzz,sawel
885,buzzard,"afalku, ifulka"
886,buzzing,"ikizzi, ikizziyen (amd, ikizziyen n izan)֎֎ askizzi, iskizziyen"
887,by,1.We use it to indicate who or what has done something. S ifassen
888,bygone,aqqbur/axbur (mad. tumẓin tiqqburin)֎֎ igan aqqbur/axbur
889,cab,"1.A taxi. Ttaksi, id ttaksi"
890,cabbage,"abzrammu, ibzrammuten"
891,cabin,"1.A private room in a ship. Taḥanut, tiḥuna"
892,cabinet,"1.A small cupboard. Abniq/ibniq, ibniqen"
893,cable,"ifulu, ifalan"
894,cable television,ttilivizyun/ttilibizyun n ifalan
895,cache,"antal, intalen"
896,cackle,skukkuhu
897,cadaver,"miḍṛuṣ, id miḍṛuṣ"
898,caddisfly,"Ʃica, id Ʃica n tewlekt"
899,cadence,"tanaɣa, tinaɣiwin"
900,caffeine,"kafyin, id kafyin"
901,cage,"iẓiṭṭi, iẓiṭṭiyen"
902,cajole,cuwwṛ
903,cake,"iqed, iqad"
904,calamity,tagat
905,calculate,ssiḍen
906,calculator,"tamsiḍent, timsiḍenin"
907,calabash,"tagṣεit, tigṣεay n uxsay"
908,calendar,"tafada, tifadiwin"
909,calf,"1.A young cow. Aɛlluc, iɛllac"
910,call off,sbedd
911,call up,bder
912,call upon,øer
913,callus,"asmred, ismrad"
914,calm up,fiss
915,camel,"aṛam, iṛaman"
916,camel driver,"arffak, irffaken"
917,camera,"takamirat, tikamiratin"
918,camphor,lkafuṛ*
919,canal,"targʷa, targʷin/tirggiwin"
920,canary,"kalalyus, id kalalyus"
921,canary grass,tigʷrramin
922,canceal,ḥḍu
923,cancel,ut
924,cancer,1.The disease caused by an uncontrolled division of abnormal cells in a part of the body. Ttaɣuɣ֎֎ abibbuc֎֎ bibbuc֎֎ afurray֎֎ ayllal֎֎ axenzir֎֎ imnṭeṣ֎֎ amnṭaṣ֎֎ axnzir֎֎ 2.The fourth sign of zodiac. Bakrraj
925,candidate,"amazzal, imazzalen"
926,candle,"taccumɛit, ticcumɛitin*"
927,candlestick,"asaḍef, isuḍaf"
928,candy,"tammimt, timmimin"
929,canine tooth,"aznzeɣ, iznzaɣ"
930,cannon,"nnfeḍ, id nnfeḍ"
